names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
ESCO1,0.75417423,0.34788975,0.45074461021740475,0.8654947074168722,0.06188769414575866,High_CNV,High_CNV_vs_Low_CNV,False
PART1,0.75411505,2.4399405,0.4507801529768768,0.8654947074168722,0.011708482676224612,High_CNV,High_CNV_vs_Low_CNV,False
RHOXF1-AS1,0.7540877,2.4683554,0.45079655786258177,0.8654947074168722,0.01099163679808841,High_CNV,High_CNV_vs_Low_CNV,False
NLRX1,0.7540012,0.53332907,0.45084850889715433,0.8655068297635927,0.03345280764635603,High_CNV,High_CNV_vs_Low_CNV,False
LRRC17,0.75388736,2.348365,0.4509168706852086,0.8655504506624474,0.011469534050179211,High_CNV,High_CNV_vs_Low_CNV,False
KCNJ12,0.7535413,2.0882056,0.4511247265497921,0.865796807996311,0.011947431302270013,High_CNV,High_CNV_vs_Low_CNV,False
RAB2B,0.7526442,0.24156469,0.45166376319715174,0.8665262102893512,0.07311827956989247,High_CNV,High_CNV_vs_Low_CNV,False
LNP1,0.752585,1.6513374,0.45169934695072633,0.8665262102893512,0.013142174432497013,High_CNV,High_CNV_vs_Low_CNV,False
ZFYVE19,0.7523892,0.20576158,0.45181705835290453,0.8666643584163886,0.1041816009557945,High_CNV,High_CNV_vs_Low_CNV,False
RAD52,0.75158316,1.5335208,0.45230177393630355,0.8674186614118715,0.014336917562724014,High_CNV,High_CNV_vs_Low_CNV,False
ACTG2,0.7513737,1.317073,0.4524277933097455,0.8675726087077172,0.017443249701314216,High_CNV,High_CNV_vs_Low_CNV,False
GXYLT1,0.750258,0.22101702,0.45309931756082744,0.8686846499738266,0.06786140979689367,High_CNV,High_CNV_vs_Low_CNV,False
RAB11FIP3,0.7501624,1.163833,0.4531569029528316,0.8687072338522644,0.015053763440860216,High_CNV,High_CNV_vs_Low_CNV,False
RPPH1,0.7500622,0.8847227,0.4532172349372545,0.8687156156511606,0.025806451612903226,High_CNV,High_CNV_vs_Low_CNV,False
ST8SIA1,0.7487735,1.0570872,0.453993727813204,0.8697944409109039,0.017682198327359618,High_CNV,High_CNV_vs_Low_CNV,False
TIGD2,0.74852306,0.90902644,0.45414472334192224,0.869985321028238,0.019115890083632018,High_CNV,High_CNV_vs_Low_CNV,False
