names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
ANKRD13D,-1.4519718,-0.01734106,0.14650945636939147,0.4147711359972398,0.10885416666666667,Cancer,Cancer_vs_Normal,False
C9orf72,-1.4527102,-0.11738408,0.1463042506934893,0.4142520326070505,0.13828125,Cancer,Cancer_vs_Normal,False
S100A2,-1.4531908,-1.1463419,0.14617079163256336,0.41393595092004837,0.01328125,Cancer,Cancer_vs_Normal,False
PRPS1,-1.4532465,0.14326891,0.14615532414715993,0.41393595092004837,0.12942708333333333,Cancer,Cancer_vs_Normal,False
EXOSC1,-1.4550228,0.13375786,0.14566295404035404,0.4126210490478438,0.18645833333333334,Cancer,Cancer_vs_Normal,False
FBXO28,-1.4556218,-0.090394534,0.14549718647981397,0.4122746364245737,0.07708333333333334,Cancer,Cancer_vs_Normal,False
LRCH3,-1.4562557,-0.27715984,0.14532193860055267,0.4118395943752961,0.0625,Cancer,Cancer_vs_Normal,False
PGAP3,-1.4563254,-0.9090401,0.1453026904540394,0.4118395943752961,0.024739583333333332,Cancer,Cancer_vs_Normal,False
KLF13,-1.4565135,0.13634071,0.14525073021101004,0.411760851786518,0.17473958333333334,Cancer,Cancer_vs_Normal,False
SIRT6,-1.4567225,-0.16108629,0.14519301329920947,0.411658767711094,0.0828125,Cancer,Cancer_vs_Normal,False
EXOSC9,-1.4571265,0.036577486,0.1450814770803903,0.4114655619604609,0.09739583333333333,Cancer,Cancer_vs_Normal,False
MEN1,-1.457412,-0.64872295,0.14500267211513113,0.4113650974814453,0.019791666666666666,Cancer,Cancer_vs_Normal,False
XPNPEP3,-1.4575166,-0.38937697,0.14497384922439532,0.41134486094264766,0.046614583333333334,Cancer,Cancer_vs_Normal,False
CDKAL1,-1.4578787,-0.4849423,0.1448739638493398,0.41112295741474325,0.0375,Cancer,Cancer_vs_Normal,False
DAPK3,-1.4579624,-0.13394934,0.1448509208674263,0.4111190832461448,0.09296875,Cancer,Cancer_vs_Normal,False
NOL6,-1.4587286,-0.9284226,0.14463982435930112,0.4106428546368482,0.023177083333333334,Cancer,Cancer_vs_Normal,False
CCDC137,-1.4591744,-0.15131205,0.1445171130968321,0.41035589906893555,0.06432291666666666,Cancer,Cancer_vs_Normal,False
KLB,-1.4596411,-2.9294362,0.14438873524174894,0.4100527648786716,0.004166666666666667,Cancer,Cancer_vs_Normal,False
LSM2,-1.459669,0.08923112,0.14438107365799882,0.4100527648786716,0.35078125,Cancer,Cancer_vs_Normal,False
STX2,-1.4598571,-0.3307782,0.14432936611758856,0.41000695452667274,0.0703125,Cancer,Cancer_vs_Normal,False
CANT1,-1.4605954,-0.08970051,0.1441265033830949,0.40961473649938485,0.09609375,Cancer,Cancer_vs_Normal,False
RNF214,-1.4620025,-0.13152856,0.14374052119298736,0.40857898447616986,0.0703125,Cancer,Cancer_vs_Normal,False
SDR42E2,-1.4627688,-0.19647007,0.1435306665112778,0.40804363519508074,0.115625,Cancer,Cancer_vs_Normal,False
PIP4K2B,-1.4629011,-0.34010792,0.14349444269742723,0.40800181495602805,0.0484375,Cancer,Cancer_vs_Normal,False
WDR45B,-1.4643779,0.0655356,0.1430907366954212,0.40697597801869567,0.27291666666666664,Cancer,Cancer_vs_Normal,False
ATP13A1,-1.4644266,-0.13220331,0.14307742165870269,0.40697597801869567,0.08541666666666667,Cancer,Cancer_vs_Normal,False
UBN1,-1.4644406,0.19774231,0.1430736175371253,0.40697597801869567,0.16276041666666666,Cancer,Cancer_vs_Normal,False
AAAS,-1.4661402,-0.36576757,0.14261009676318817,0.40579152064724133,0.06510416666666667,Cancer,Cancer_vs_Normal,False
RSAD2,-1.4662308,-0.91860193,0.14258543336699803,0.4057822244605519,0.019791666666666666,Cancer,Cancer_vs_Normal,False
DUSP28,-1.4664537,-0.036622297,0.14252473741859173,0.4056703654725487,0.06744791666666666,Cancer,Cancer_vs_Normal,False
IFT88,-1.4665233,-0.36936867,0.1425057740030305,0.4056703654725487,0.03854166666666667,Cancer,Cancer_vs_Normal,False
PRPF3,-1.4673383,-0.37908146,0.1422840459304642,0.40510688050912075,0.05364583333333333,Cancer,Cancer_vs_Normal,False
NOC4L,-1.4685295,-0.20282611,0.14196045846612124,0.4043069672338173,0.078125,Cancer,Cancer_vs_Normal,False
GIT2,-1.469052,0.054828316,0.14181871258773607,0.4040246183305415,0.20104166666666667,Cancer,Cancer_vs_Normal,False
SAP30L,-1.4691982,-0.44299948,0.1417790432309865,0.40397228889357856,0.03463541666666667,Cancer,Cancer_vs_Normal,False
TRAPPC2,-1.4701804,-0.084391825,0.14151291255943946,0.4034564622203502,0.05807291666666667,Cancer,Cancer_vs_Normal,False
RRM1,-1.4710302,-0.014690642,0.14128295335553223,0.4028614058619258,0.0796875,Cancer,Cancer_vs_Normal,False
NOD1,-1.4711207,-0.90988743,0.14125846644720838,0.40285215280771536,0.026041666666666668,Cancer,Cancer_vs_Normal,False
HDAC7,-1.4719776,-0.2447839,0.14102694402361118,0.40231287506133967,0.08072916666666667,Cancer,Cancer_vs_Normal,False
COPG2,-1.472897,-0.40549362,0.1407788055457346,0.4016654200654215,0.03203125,Cancer,Cancer_vs_Normal,False
MED13L,-1.4731548,-0.108532056,0.14070931184881752,0.4015275502878159,0.14557291666666666,Cancer,Cancer_vs_Normal,False
PNKD,-1.473524,0.019862788,0.14060981278096601,0.40136440388185135,0.32135416666666666,Cancer,Cancer_vs_Normal,False
